Rank,State,Spending
1,Virginia,13.9
2,California,3.1
3,Texas,3.7
4,Florida,3.1
5,Maryland,7
6,Georgia,4.7
7,Pennsylvania,3.1
8,Arizona,6.1
9,Massachusetts,4.2
10,North Carolina,3.6
11,Alabama,8.6
12,Missouri,6
13,New York,1.2
14,Washington,4.1
15,Connecticut,5.6
16,Kentucky,7.9
17,New Jersey,2.3
18,Colorado,4.3
19,Ohio,2.2
20,Illinois,1.5
21,Indiana,3.5
22,Louisiana,4.5
23,South Carolina,5.7
24,Wisconsin,3.7
25,Hawaii,13.5
26,District of Columbia,8.5
27,Michigan,2
28,Oklahoma,5
29,Kansas,5.6
30,Mississippi,6
31,Tennessee,2.2
32,Alaska,10.7
33,Utah,3.9
34,New Mexico,4.3
35,Nevada,2.6
36,Minnesota,1.1
37,Oregon,1.6
38,Arkansas,2.7
39,Maine,4.8
40,Nebraska,2.5
41,Iowa,1.5
42,New Hampshire,3.4
43,Rhode Island,3
44,North Dakota,3.5
45,West Virginia,1.7
46,South Dakota,2.7
47,Idaho,1.7
48,Delaware,1.4
49,Montana,2.4
50,Vermont,3.4
51,Wyoming,1.5